21:58:21.187 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-9001"]
21:58:21.196 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
21:58:21.196 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
21:58:21.202 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
21:58:21.278 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
21:58:21.400 [main] INFO  o.a.c.c.StandardService - [log,180] - Stopping service [Tomcat]
21:58:59.119 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
21:59:00.267 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-9001"]
21:59:00.275 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
21:59:00.275 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
21:59:00.281 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
21:59:00.355 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
21:59:00.496 [main] INFO  o.a.c.c.StandardService - [log,180] - Stopping service [Tomcat]
22:00:30.077 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
22:00:31.299 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-9001"]
22:00:31.308 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
22:00:31.308 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
22:00:31.314 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
22:00:31.392 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
22:00:31.505 [main] INFO  o.a.c.c.StandardService - [log,180] - Stopping service [Tomcat]
22:01:44.662 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
22:01:45.862 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-9001"]
22:01:45.872 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
22:01:45.872 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
22:01:45.878 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
22:01:45.956 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
22:01:46.139 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - [dataSource,56] - Init DruidDataSource
22:01:46.378 [main] INFO  c.a.d.p.DruidDataSource - [init,930] - {dataSource-1} inited
22:01:47.558 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Starting ProtocolHandler ["http-nio-9001"]
22:01:47.569 [main] INFO  o.a.t.u.n.NioSelectorPool - [log,180] - Using a shared selector for servlet write/read
22:01:47.585 [main] INFO  i.s.u.BackendUserApplication - [logStarted,59] - Started BackendUserApplication in 3.993 seconds (JVM running for 4.895)
22:02:03.059 [http-nio-9001-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring FrameworkServlet 'dispatcherServlet'
22:06:33.316 [Thread-14] INFO  c.a.d.p.DruidDataSource - [close,1825] - {dataSource-1} closed
22:06:41.020 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
22:06:42.241 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-9001"]
22:06:42.253 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
22:06:42.253 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
22:06:42.260 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
22:06:42.340 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
22:06:42.531 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - [dataSource,56] - Init DruidDataSource
22:06:42.741 [main] INFO  c.a.d.p.DruidDataSource - [init,930] - {dataSource-1} inited
22:06:43.912 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Starting ProtocolHandler ["http-nio-9001"]
22:06:43.924 [main] INFO  o.a.t.u.n.NioSelectorPool - [log,180] - Using a shared selector for servlet write/read
22:06:43.938 [main] INFO  i.s.u.BackendUserApplication - [logStarted,59] - Started BackendUserApplication in 4.035 seconds (JVM running for 4.951)
22:06:47.872 [http-nio-9001-exec-2] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring FrameworkServlet 'dispatcherServlet'
22:10:14.802 [Thread-14] INFO  c.a.d.p.DruidDataSource - [close,1825] - {dataSource-1} closed
22:25:02.026 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
